utr_id,utr_rating,playerId,playerFamilyName,playerGivenName,playerNationalityCode,playerNationality,profileLink,hiddenPlayer,birthYear,rankMovement,rank,rankEqualFlag,tournamentsPlayed,points,profileImage,tournamentsPlayedSingles,tournamentsPlayedDoubles,pointsRankingSingles,pointsRankingDoubles,pointsRankingTotal,age,player_name
274899,12.88,800471370,Hanchaikul,Patorn,THA,Thailand,/en/players/patorn-hanchaikul/800471370/tha/,False,2002,20,73,,25,562.0,"/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137989cb210b58887afe3e.jpg?crop=0.31240682149483251,0.0068932495040363384,0.24033635369732115,0.5464255457972651&cropmode=percentage&width=54&height=72&rnd=132423944800000000",,,,,,18,Patorn Hanchaikul
11788,11.69,800446486,Alcaraz,Carlos,ESP,Spain,/en/players/carlos-alcaraz/800446486/esp/,False,2003,-2,74,,6,560.0,"/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220866907ffe08.jpg?crop=0.31385426845437764,0.064982686755600316,0.33305967953444754,0.26662396375822506&cropmode=percentage&width=54&height=72&rnd=132297992010000000",,,,,,17,Carlos Alcaraz
275399,13.33,800559106,Shang,Juncheng,CHN,"China, P.R.",/en/players/juncheng-shang/800559106/chn/,False,2005,-2,75,,27,558.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,15,Juncheng Shang
276831,12.73,800416712,Samuel,Toby,GBR,Great Britain,/en/players/toby-samuel/800416712/gbr/,False,2002,11,76,,42,552.5,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e1220958907ffe2e.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132132047230000000,,,,,,18,Toby Samuel
1889250,13.33,800472638,Sadaoui ,Mehdi,FRA,France,/en/players/mehdi-sadaoui-/800472638/fra/,False,2003,-2,77,,38,548.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Mehdi Sadaoui 
280306,12.83,800423950,Kashirin,Nikita,RUS,Russia,/en/players/nikita-kashirin/800423950/rus/,False,2002,-2,78,,35,545.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Nikita Kashirin
261336,13.16,800451734,Zhang,Yu,CHN,"China, P.R.",/en/players/yu-zhang/800451734/chn/,False,2002,-1,79,,38,543.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Yu Zhang
268884,12.84,800497171,Alcala Gurri,Max,ESP,Spain,/en/players/max-alcala-gurri/800497171/esp/,False,2002,-15,80,,30,542.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Max Alcala Gurri
275445,12.63,800488879,Orlikowski,Aleksander,POL,Poland,/en/players/aleksander-orlikowski/800488879/pol/,False,2003,-2,81,,36,541.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Aleksander Orlikowski
376057,12.62,800514275,Sekulic,Philip,AUS,Australia,/en/players/philip-sekulic/800514275/aus/,False,2003,13,82,,33,540.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Philip Sekulic
2197347,12.84,800424785,Nesterov,Petr,BUL,Bulgaria,/en/players/petr-nesterov/800424785/bul/,False,2003,-3,83,,35,534.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Petr Nesterov
274748,13.03,800447873,Rottoli,Lorenzo,ITA,Italy,/en/players/lorenzo-rottoli/800447873/ita/,False,2002,-3,84,,37,530.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Lorenzo Rottoli
275021,13.27,800398602,Snitari,Ilya,MDA,Moldova,/en/players/ilya-snitari/800398602/mda/,False,2002,-3,85,,38,528.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Ilya Snitari
276628,13.35,800475498,Novansky,Michal,SVK,Slovakia,/en/players/michal-novansky/800475498/svk/,False,2002,-3,86,,32,524.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Michal Novansky
1228757,12.47,800535033,De Boes,Maikel,BEL,Belgium,/en/players/maikel-de-boes/800535033/bel/,False,2002,-3,87,,44,522.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Maikel De Boes
804471,12.63,800510429,Dong,Chen,AUS,Australia,/en/players/chen-dong/800510429/aus/,False,2002,16,88,,46,522.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Chen Dong
275680,12.97,800430100,Philippov,Evgeny,RUS,Russia,/en/players/evgeny-philippov/800430100/rus/,False,2002,-4,89,,24,513.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Evgeny Philippov
94696,12.80,800440074,Salvestre,Damien,FRA,France,/en/players/damien-salvestre/800440074/fra/,False,2002,-4,90,,29,512.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Damien Salvestre
2095395,12.35,800424420,Maestrelli,Francesco,ITA,Italy,/en/players/francesco-maestrelli/800424420/ita/,False,2002,-17,91,,26,508.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Francesco Maestrelli
2087009,13.11,800413752,Malkowski,Jean Marc,SUI,Switzerland,/en/players/jean-marc-malkowski/800413752/sui/,False,2002,5,92,,42,498.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Jean Marc Malkowski
274770,13.43,800516476,De la fuente,Santiago,ARG,Argentina,/en/players/santiago-de-la-fuente/800516476/arg/,False,2002,-3,93,,18,498.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Santiago De la fuente
802582,12.23,800418531,Terziev,Simeon,BUL,Bulgaria,/en/players/simeon-terziev/800418531/bul/,False,2002,-3,94,,30,494.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Simeon Terziev
275869,12.86,800526691,Kittay,Benjamin,USA,USA,/en/players/benjamin-kittay/800526691/usa/,False,2003,5,95,,41,488.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Benjamin Kittay
