birth_year,last_name,first_name,player_country_code,player_name,utr_id,utr_rating
2001,Gustafsson,Carl,SWE,Carl Gustafsson,277418,12.26
2001,Sendogan,Emir,TUR,Emir Sendogan,1897958,12.30
2001,Schifris,Jeremy,GER,Jeremy Schifris,2548169,11.93
2001,Fainblum,Daniel,CAN,Daniel Fainblum,158517,11.85
2001,Story,James,GBR,James Story,2541938,12.76
2001,Kim,Geun Jun,KOR,Geun Jun Kim,249265,13.13
2001,Berry,Noah,USA,Noah Berry,2099962,12.27
2001,Boulais,Justin,CAN,Justin Boulais,2530168,13.06
2001,Johnson,Connor,AUS,Connor Johnson,2093451,12.36
2001,Georgescu,Matei Adrian,ROU,Matei Adrian Georgescu,271114,11.62
2001,Vinas,Ignacio,ARG,Ignacio Vinas,947147,12.26
2001,Bernard,John,USA,John Bernard,96349,12.84
2001,Brzezinski,Sebastian,ITA,Sebastian Brzezinski,634826,12.12
2001,Martinez Mora Esdras,Wulfrano,MEX,Wulfrano Martinez Mora Esdras,No UTR id found,3X6
2001,Beckley,Alec,RSA,Alec Beckley,240547,12.47
2001,Fiorentini,Andrea,ITA,Andrea Fiorentini,275313,12.66
2001,Emesz,Benedikt,AUT,Benedikt Emesz,1156109,12.43
2001,Radojkovic,Milan,SRB,Milan Radojkovic,243029,11.54
2001,Baker,Blu,GBR,Blu Baker,1933048,13.46
2001,Pecci,Alessandro,ITA,Alessandro Pecci,240580,3X6
2001,Van Wyk,Chrisjan,RSA,Chrisjan Van Wyk,669151,10.76
2001,Magadan,Alan,MEX,Alan Magadan,2122593,11.96
2001,Osminkin,Vladimir,RUS,Vladimir Osminkin,277984,12.05
2001,Puljic ,Luka,BIH,Luka Puljic ,274387,12.55
2001,Rivas Maturana,Vicente Manuel,CHI,Vicente Manuel Rivas Maturana,No UTR id found,3X6
2001,Palm,Benjamin,GHA,Benjamin Palm,245353,10.06
2001,Rihane,Youcef,ALG,Youcef Rihane,199191,12.51
2001,Lane,Lewie,GER,Lewie Lane,270014,12.20
2001,Ben Brahim,Zakaria,TUN,Zakaria Ben Brahim,198640,11.69
2001,Li,Chenhe,CHN,Chenhe Li,116821,11.08
2001,Zapsky,Krystof,CZE,Krystof Zapsky,273348,11.57
2001,Pioli Tizon,Ramiro,ARG,Ramiro Pioli Tizon,248722,11.70
2001,Henderson,Russell,GBR,Russell Henderson,1730658,11.89
2001,Johann,Lars,GER,Lars Johann,271373,12.21
2001,Aranzabal,Mikel,ESP,Mikel Aranzabal,224739,10.86
2001,Torski,Osman,GER,Osman Torski,268917,12.70
2001,Marinescu,Mihai Razvan,ROU,Mihai Razvan Marinescu,2502783,12.58
2001,Thanos,Aristotelis,GRE,Aristotelis Thanos,281842,13.36
2001,Zakaryia,Faris,EGY,Faris Zakaryia,221140,12.37
2001,Carretero,Pablo,ESP,Pablo Carretero,2095449,12.04
2001,Eminefendic,Ervin Haris,ITA,Ervin Haris Eminefendic,No UTR id found,3X6
2001,Cavrak,Ken,AUS,Ken Cavrak,222302,3X6
2001,Ellesmere,Harry,IRL,Harry Ellesmere,278056,10.04
2001,Gorecki,Kacper,POL,Kacper Gorecki,1475852,9.95
2001,Ross,Matthis,GBR,Matthis Ross,1711936,12.54
2001,Volonski,Nikita,AUS,Nikita Volonski,2082180,12.96
